weight,subsid,ret,soc,age,age_grp,region,sex,tenure,fihhyr2,mastat,dfihhyr,dfihhyrchg,saveamount,huresp,hsval,mg1tot,xpmg,usa,usb,ush,usc,usj,usd,usi,use,usk,usg,us,ustot,xpus,billscc,actbillscc1,actbillscc2,actbillscc3,actbillscc4,actbillscc5,actbillscc6,actbillscc7,actbillscc8,actbillscc9,actbillscc10,actbillscc11,actbill_otherspec,condebt,actdebt1,actdebt2,actdebt3,actdebt4,actdebt5,actdebt7,actdebt6,actdebt8,actdebt9,actdebt_otherspec,changecondebt,hscntcr1,hscrchg,newloan,outloan,deposit,depositsave,timedeposit,nvesttot,savingch,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs14,savebcs13,desavebcs1,desavebcs2,desavebcs3,desavebcs4,desavebcs5,desavebcs6,emergency,emerchange,hhincfall,conhhinc,pubsecty,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact8,fisc_impact6,fisc_impact7,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act6,fisc11_act5,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc8,fisc11_conc6,fisc11_conc7,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact6,fisc_likact5,jbstat,xphsdf,xphpdf
0.95782022,24753767,No,D,21,18 - 24,North West,female,Owned mortgage,don't know,marrried or couple,don't know,don't know,don't know,no,not applicable,not applicable,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,not applicable,not applicable,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,don't know,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,don't know,don't know,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,don't know,No,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,unemployed,no,not applicable
1.00993631,21937714,Yes,A,40,35 - 44,North West,male,Owned mortgage,"£50,000-£74,999",marrried or couple,<=199,down >£100,none,yes,"£150,000-£174,999","£170,000-£189,999",£700-£749,yes,yes,yes,yes,no,no,yes,no,no,no,yes,"£10,000-£14,999",don't know,"keeping up, struggle from time to time",no,no,no,no,no,yes,no,no,no,no,no,,Somewhat concerned,yes,yes,yes,no,no,no,no,no,no,,Increased,no,the same,No,not applicable,not applicable,not applicable,not applicable,None,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Decreased,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,in paid employ,no,somewhat
0.992433844,21615783,No,B,67,65+,South East,male,Owned outright,"£17,500-£24,999",marrried or couple,"£1,200-£1,399",down >£100,£25-£49,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,"keeping up, struggle from time to time",no,no,no,no,no,yes,no,no,no,no,no,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Increased,don't know,not applicable,No,not applicable,not applicable,not applicable,not applicable,£500-£999,Decrease by less than £50 a month,,,,,,,,,,,,,,,no,yes,no,no,no,no,No,don't know,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,retired,no,not applicable
1.00336714,21292241,No,A,74,65+,North West,male,Owned outright,"£30,000-£39,999",marrried or couple,refused,down <£50,£100-£149,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,refused,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Increased,Not very likely - my household income is very secure,No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,retired,no,not applicable
0.991722218,21076940,No,D,44,35 - 44,Yorkshire & Humberside,female,Owned mortgage,"£15,500-£17,499",never married,<=199,down <£50,<=25,yes,"£50,000-£74,999","£10,000-£19,999",£100-£149,yes,no,no,no,no,no,no,no,no,no,yes,"£2,500-£2,999",£20-£29,"keeping up, struggle from time to time",no,no,no,no,no,yes,no,no,no,no,no,,Somewhat concerned,yes,no,no,no,no,no,no,no,no,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,£500-£999,don't know,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,yes,no,no,no,no,no,no,yes,no,,,,,,,no,yes,yes,no,yes,no,no,no,don't know,don't know,don't know,don't know,don't know,don't know,in paid employ,no,no
1.06861464,22632950,Yes,B,35,35 - 44,Wales,male,Owned mortgage,"£30,000-£39,999",never married,£700-£799,up £50-£100,£200-£249,yes,"£200,000-£224,999","£100,000-£109,999",£700-£749,no,yes,yes,yes,no,no,yes,no,no,no,yes,"£7,000-£7,499",£140-£159,"keeping up, struggle from time to time",no,no,no,no,no,yes,no,yes,no,no,no,,Somewhat concerned,yes,yes,yes,no,no,no,no,no,no,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,"£3,000 - £3,999",Increase by £100-£149 a month,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,,,,,,No,Stayed the same,don't know,No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,in paid employ,no,somewhat
0.964923696,21646005,No,C2,48,45 - 54,South East,female,Owned mortgage,"£17,500-£24,999",marrried or couple,<=199,down >£100,none,yes,"£275,000-£299,999","£80,000-£89,999",£450-£499,no,yes,yes,yes,yes,no,no,no,no,yes,yes,"£15,000-£19,999",>=£500,"keeping up, constant struggle",no,no,no,no,no,yes,no,no,yes,yes,no,"no holidays, clothes and non essentials e.g tv subscriptions, going out",Very concerned,yes,yes,no,no,no,yes,no,no,no,t,Increased,no,harder,No,not applicable,not applicable,not applicable,not applicable,<£500,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,no,no,no,no,no,no,no,yes,no,,,,,,,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,something else,no,heavy
0.972034372,22859098,No,B,51,45 - 54,East Midlands,female,Owned outright,">=£100,000",marrried or couple,£500-£599,down >£100,£250-£299,yes,,not applicable,not applicable,no,no,no,yes,no,no,no,no,no,yes,yes,">=£30,000",>=£500,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,don't know,harder,No,not applicable,not applicable,not applicable,not applicable,"£40,000 - £44,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Increased,"Not likely, but there is a small chance of a sharp fall in my household income",don't know,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,self employed,no,no
0.992433844,21740987,No,B,67,65+,South East,male,Owned outright,"£25,000-£29,999",widowed/divorced/separated,"£1,000-£1,199",down <£50,£400-£449,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,">=£150,000",don't know,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,retired,no,not applicable
0.968944993,23927130,No,B,54,45 - 54,Yorkshire & Humberside,female,Owned outright,"£15,500-£17,499",marrried or couple,<=199,down £50-£100,£50-£99,no,not applicable,not applicable,not applicable,yes,no,no,no,no,no,no,no,no,no,yes,"£5,000-£5,499",£120-£139,"keeping up, constant struggle",no,no,no,no,no,yes,no,no,no,no,no,,Somewhat concerned,no,yes,no,no,no,no,no,no,no,,Stayed the same,no,harder,No,not applicable,not applicable,not applicable,not applicable,"£1,000 - £1,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Increased,Quite likely - my household income could fall sharply,Yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,in paid employ,no,somewhat
